quantile_window,entry_quantile,min_trade_size,threshold_mult,max_hold_bars,stop_loss_mult,take_profit_mult,n_trades,total_pnl,sharpe
50,0.85,0.01,0.25,50,1.5,4.0,11,291.3675079602177,0.0221899779002344
50,0.85,0.01,0.25,50,1.5,6.0,12,331.647006999227,0.02420505048116842
50,0.85,0.01,0.25,50,1.5,8.0,23,-329.3247521607027,-0.029205304323049953
50,0.85,0.01,0.25,50,1.5,10.0,17,-64.81370485301461,-0.004803631109740528
50,0.85,0.01,0.25,50,2.0,4.0,11,291.3235668240607,0.0221866195358672
50,0.85,0.01,0.25,50,2.0,6.0,14,295.10195227394803,0.02202959187276689
50,0.85,0.01,0.25,50,2.0,8.0,18,-299.90273109087883,-0.03167392738677779
50,0.85,0.01,0.25,50,2.0,10.0,14,160.28084450945292,0.013130351606542584
50,0.85,0.01,0.25,75,1.5,4.0,9,458.51668413025357,0.034797650022990775
50,0.85,0.01,0.25,75,1.5,6.0,10,523.7583299532702,0.03816424512356182
50,0.85,0.01,0.25,75,1.5,8.0,20,-230.2124003198514,-0.01693023308839399
50,0.85,0.01,0.25,75,1.5,10.0,18,-352.92242134465596,-0.03834447625716609
50,0.85,0.01,0.25,75,2.0,4.0,9,458.47201543861655,0.03479417162847926
50,0.85,0.01,0.25,75,2.0,6.0,12,412.9842323077464,0.030420168885962613
50,0.85,0.01,0.25,75,2.0,8.0,13,76.3191289082468,0.006273214080187801
50,0.85,0.01,0.25,75,2.0,10.0,15,-131.36006719427056,-0.013817543296411773
50,0.85,0.01,0.25,100,1.5,4.0,8,367.30828566425544,0.02745849789761983
50,0.85,0.01,0.25,100,1.5,6.0,8,471.7426324085563,0.03399000853544686
50,0.85,0.01,0.25,100,1.5,8.0,20,-281.7944963398994,-0.0220555657920658
50,0.85,0.01,0.25,100,1.5,10.0,18,-361.69263544973086,-0.039184598004730065
50,0.85,0.01,0.25,100,2.0,4.0,8,367.2640288184974,0.027455148048834786
50,0.85,0.01,0.25,100,2.0,6.0,8,471.6979012251734,0.03398672238115902
50,0.85,0.01,0.25,100,2.0,8.0,14,48.58077091346601,0.0044182009720413334
50,0.85,0.01,0.25,100,2.0,10.0,15,-146.07948063643227,-0.01505035074982504
50,0.85,0.01,0.3,50,1.5,4.0,9,360.0352766539826,0.02774256062483459
50,0.85,0.01,0.3,50,1.5,6.0,9,463.9108637476947,0.03440185293271147
50,0.85,0.01,0.3,50,1.5,8.0,18,-236.2615669626999,-0.02199991916356508
50,0.85,0.01,0.3,50,1.5,10.0,17,-426.89809881850647,-0.052610925639228104
50,0.85,0.01,0.3,50,2.0,4.0,9,360.0352766539826,0.02774256062483459
50,0.85,0.01,0.3,50,2.0,6.0,9,463.9108637476947,0.03440185293271147
50,0.85,0.01,0.3,50,2.0,8.0,15,-319.6535867058023,-0.03486783756871573
50,0.85,0.01,0.3,50,2.0,10.0,13,61.748719212431425,0.005376199322359257
50,0.85,0.01,0.3,75,1.5,4.0,7,538.6622471541821,0.041838329714061165
50,0.85,0.01,0.3,75,1.5,6.0,7,644.3288747406029,0.04817914840012946
50,0.85,0.01,0.3,75,1.5,8.0,16,-178.201735672554,-0.013848391803053946
50,0.85,0.01,0.3,75,1.5,10.0,16,-422.1272037697761,-0.052044739742391495
50,0.85,0.01,0.3,75,2.0,4.0,7,538.6622471541821,0.041838329714061165
50,0.85,0.01,0.3,75,2.0,6.0,7,644.3288747406029,0.04817914840012946
50,0.85,0.01,0.3,75,2.0,8.0,10,41.21422167744122,0.0036355912637287616
50,0.85,0.01,0.3,75,2.0,10.0,14,-250.7574175906218,-0.027320239926988107
50,0.85,0.01,0.3,100,1.5,4.0,6,430.97288185476765,0.03329256623625843
50,0.85,0.01,0.3,100,1.5,6.0,6,535.559721448059,0.03983034079626337
50,0.85,0.01,0.3,100,1.5,8.0,16,-494.990485617395,-0.06020098372022048
50,0.85,0.01,0.3,100,1.5,10.0,14,-390.35348485724586,-0.04743790666723681
50,0.85,0.01,0.3,100,2.0,4.0,6,430.97288185476765,0.03329256623625843
50,0.85,0.01,0.3,100,2.0,6.0,6,535.559721448059,0.03983034079626337
50,0.85,0.01,0.3,100,2.0,8.0,11,32.773774918271556,0.003196311565413909
50,0.85,0.01,0.3,100,2.0,10.0,14,-239.8954530013922,-0.0256441010647158
50,0.85,0.01,0.35,50,1.5,4.0,8,374.9283142514642,0.029923040794864474
50,0.85,0.01,0.35,50,1.5,6.0,8,408.52624582128874,0.03227865096358412
50,0.85,0.01,0.35,50,1.5,8.0,16,-52.386313293893984,-0.0048715446759270715
50,0.85,0.01,0.35,50,1.5,10.0,16,-295.38493185664623,-0.039030893909156227
50,0.85,0.01,0.35,50,2.0,4.0,8,374.9283142514642,0.029923040794864474
50,0.85,0.01,0.35,50,2.0,6.0,8,408.52624582128874,0.03227865096358412
50,0.85,0.01,0.35,50,2.0,8.0,14,-282.8010240058509,-0.036954956374563835
50,0.85,0.01,0.35,50,2.0,10.0,15,92.03438292775618,0.008794615931750037
50,0.85,0.01,0.35,75,1.5,4.0,6,474.5942753105915,0.03742009330762878
50,0.85,0.01,0.35,75,1.5,6.0,6,508.5149880570264,0.0397114015472024
50,0.85,0.01,0.35,75,1.5,8.0,14,84.22100777469588,0.007370489230575469
50,0.85,0.01,0.35,75,1.5,10.0,15,-222.8045741929678,-0.029869213224969802
50,0.85,0.01,0.35,75,2.0,4.0,6,474.5942753105915,0.03742009330762878
