number,value,datetime_start,datetime_complete,duration,params_entry_quantile,params_min_edge_bps,params_quantile_window,params_stop_loss_atr_mult,params_take_profit_atr_mult,params_threshold_mult,params_z_threshold,state
0,3.16301488158427e-05,2025-09-02 11:07:14.711322,2025-09-02 11:07:19.974272,0 days 00:00:05.262950,0.7988937359355444,11,500,5.536392894112938,5.793990617964786,0.02818593797267479,0.3591003048009931,COMPLETE
1,0.006781760279573446,2025-09-02 11:07:19.974607,2025-09-02 11:07:24.708208,0 days 00:00:04.733601,0.8447521197106161,11,450,4.133863550801636,5.319338661249462,0.028676977762681063,0.1441335275469372,COMPLETE
2,-0.01210523638310343,2025-09-02 11:07:24.708567,2025-09-02 11:07:29.563101,0 days 00:00:04.854534,0.6977362816957484,11,350,5.138326669277372,7.618590341668648,0.06617507688394858,0.21663196712946264,COMPLETE
3,0.003325830256919176,2025-09-02 11:07:29.563405,2025-09-02 11:07:34.246704,0 days 00:00:04.683299,0.7530594959777122,7,600,5.530577820329144,7.885847964200112,0.0701343637236148,0.22513794277377006,COMPLETE
4,-0.0027401396470873355,2025-09-02 11:07:34.247178,2025-09-02 11:07:38.512739,0 days 00:00:04.265561,0.8298579735792087,10,300,5.638571757234793,6.740669088416391,0.0578632530584557,0.29371447672635964,COMPLETE
5,-0.014337059607365709,2025-09-02 11:07:38.513634,2025-09-02 11:07:43.448823,0 days 00:00:04.935189,0.6769223837556719,12,550,5.224050030825753,7.389392793194767,0.08400519630184608,0.39465661489316817,COMPLETE
6,0.0127947418034539,2025-09-02 11:07:43.449140,2025-09-02 11:07:48.558726,0 days 00:00:05.109586,0.6598514744358699,9,450,4.5205776610872155,7.087965652804687,0.06238721941320257,0.21225111384689646,COMPLETE
7,-0.004328868930346385,2025-09-02 11:07:48.559119,2025-09-02 11:07:54.146033,0 days 00:00:05.586914,0.666886621397063,5,500,4.947594371843669,7.94143307311662,0.09146133658715311,0.15349153391629836,COMPLETE
8,-0.0008041177728347248,2025-09-02 11:07:54.146404,2025-09-02 11:07:59.826676,0 days 00:00:05.680272,0.7268648014177763,10,450,4.285558846140885,7.236213684821413,0.0800712267105728,0.2734215997794606,COMPLETE
9,-0.011255689590647464,2025-09-02 11:07:59.827034,2025-09-02 11:08:05.664493,0 days 00:00:05.837459,0.7898222320984738,12,550,5.054744567469576,7.643679809116786,0.08895248904627107,0.3270591835329524,COMPLETE
10,0.006848922568504065,2025-09-02 11:08:05.664826,2025-09-02 11:08:11.039580,0 days 00:00:05.374754,0.8956390801998061,8,200,4.610102091947353,6.525171024687056,0.04427529603770204,0.10163432075324522,COMPLETE
11,0.002936491270798079,2025-09-02 11:08:11.039945,2025-09-02 11:08:17.841035,0 days 00:00:06.801090,0.8737941260349369,8,200,4.599264655211875,6.40705638017266,0.04121227443793362,0.10167372673783868,COMPLETE
